분,신,종목명,현재가,대비,,등락률,거래량,종목코드
신,,하이트진로홀딩스,"10,040",▼,"-60","-0.59","21,712",'000140
신,,금호석유화학우,"55,600",▼,"-300","-0.54","12,631",'011785
신,,삼성물산,"166,700",▼,"-1,100","-0.66","171,983",'028260
신,,DB하이텍,"44,500",▼,"-1,450","-3.16","158,577",'000990
신,,SK우,"155,600",▲,"700","0.45","2,123",'03473K
신,,LG,"75,400",▲,"900","1.21","168,158",'003550
신,,SK하이닉스,"256,000",▼,"-13,000","-4.83","2,751,656",'000660
신,,삼성화재우,"330,000",▲,"500","0.15","9,755",'000815
,,아모레퍼시픽홀딩스우,"11,050",▼,"-90","-0.81","3,910",'002795
신,,한국금융지주우,"92,300",▼,"-400","-0.43","20,277",'071055
신,,하나금융지주,"81,400",▼,"-800","-0.97","432,414",'086790
신,,KB금융,"107,300",▼,"-900","-0.83","493,714",'105560
신,,하이브,"285,000",▼,"-2,000","-0.70","210,275",'352820
신,,카카오,"61,600",▼,"-900","-1.44","4,655,029",'035720
신,,HD현대미포,"199,200",▼,"-5,300","-2.59","578,199",'010620
신,,HD현대일렉트릭,"487,500",▼,"-5,000","-1.02","83,091",'267260
신,,한국항공우주,"93,400",▼,"-1,800","-1.89","633,314",'047810
증,,크라운제과우,"9,510",▼,"-180","-1.86","1,700",'26490K
신,,에스엠,"140,600",▲,"1,800","1.30","212,460",'041510
신,,두산우,"323,000",▼,"-14,500","-4.30","20,329",'000155
신,,한화에어로스페이스,"916,000",▲,"32,000","3.62","263,978",'012450
,,한화오션,"116,400",▲,"4,400","3.93","5,075,628",'042660
신,,GS건설,"18,480",▼,"-190","-1.02","265,741",'006360
신,,한화시스템,"51,200",▲,"300","0.59","1,277,610",'272210
증,,솔디펜스,"742",▼,"-39","-4.99","1,257,085",'215090
신,,실리콘투,"43,950",▼,"-950","-2.12","882,146",'257720
신,,두산에너빌리티,"59,800",▼,"-1,900","-3.08","12,309,473",'034020
신,,우리기술투자,"10,060",▼,"-670","-6.24","3,506,530",'041190
신,,현대차3우B,"166,500",▲,"1,000","0.60","16,245",'005389
신,,DN오토모티브,"26,100",▼,"-500","-1.88","61,329",'007340
신,,신한지주,"64,200",▼,"-1,100","-1.68","1,066,866",'055550
신,,JB금융지주,"23,650",▲,"150","0.64","326,381",'175330
신,,우리금융지주,"24,450",▼,"-350","-1.41","1,081,648",'316140
신,,삼성증권,"68,100",▼,"-700","-1.02","191,421",'016360
신,,한양증권,"17,200",▼,"-190","-1.09","33,525",'001750
열,,SK증권우,"2,070",▼,"-45","-2.13","2,287",'001515
신,,교보증권,"8,720",▲,"20","0.23","87,118",'030610
신,,쿠쿠홀딩스,"31,800",▲,"500","1.60","31,406",'192400
신,,농심홀딩스,"82,200",▲,"2,500","3.14","22,125",'072710
신,,영원무역,"58,300",▼,"-400","-0.68","40,178",'111770
신,,풍산홀딩스,"40,300",▲,"250","0.62","28,100",'005810
신,,롯데칠성우,"71,000", ,"","","466",'005305
증,,CJ씨푸드1우,"16,830",▼,"-150","-0.88","70",'011155
신,,S-Oil우,"39,200",▼,"-200","-0.51","4,316",'010955
신,,한미반도체,"81,600",▼,"-5,400","-6.21","1,244,466",'042700
신,,삼성전기우,"72,500",▲,"700","0.97","19,363",'009155
신,,삼성에스디에스,"146,600",▼,"-700","-0.48","78,473",'018260
신,,JYP Ent.,"74,400",▲,"1,700","2.34","798,099",'035900
신,,LS ELECTRIC,"274,500",▼,"-10,000","-3.51","166,844",'010120
신,,기아,"106,600",▲,"800","0.76","621,834",'000270
신,,HD현대,"137,100", ,"","","226,732",'267250
신,,HD현대중공업,"509,000",▼,"-11,000","-2.12","346,400",'329180
신,,HD한국조선해양,"414,000",▲,"7,500","1.85","759,607",'009540
신,,삼성중공업,"20,800",▼,"-500","-2.35","9,267,802",'010140
신,,삼성바이오로직스,"999,000",▼,"-2,000","-0.20","69,916",'207940
신,,셀트리온,"169,400",▲,"1,800","1.07","362,674",'068270
신,,셀트리온제약,"51,500",▼,"-200","-0.39","90,767",'068760
증,,SAMG엔터,"56,700",▼,"-1,300","-2.24","179,380",'419530
신,,SOOP,"77,200",▼,"-700","-0.90","26,367",'067160
신,,SK텔레콤,"54,600",▲,"400","0.74","594,181",'017670
신,,키움증권,"200,500",▼,"-5,000","-2.43","89,672",'039490
신,,한국전력,"36,450",▲,"100","0.28","2,069,803",'015760
신,,한진중공업홀딩스,"4,960",▲,"100","2.06","193,195",'003480
신,,DB,"1,555",▲,"179","13.01","34,240,012",'012030
신,,DB손해보험,"137,200",▲,"5,300","4.02","211,080",'005830
신,,DB증권,"8,740",▼,"-80","-0.91","87,606",'016610
신,,HMM,"22,350",▲,"250","1.13","1,543,512",'011200
신,,SKC,"90,300",▼,"-3,500","-3.73","345,391",'011790
신,,두산로보틱스,"61,700",▼,"-800","-1.28","292,535",'454910
,,이엠텍,"9,100",▼,"-590","-6.09","168,796",'091120
신,,대한해운,"1,696",▼,"-18","-1.05","1,226,284",'005880
신,,대한조선,"81,600",▼,"-4,300","-5.01","1,291,342",'439260
신,,LIG넥스원,"494,500",▲,"5,000","1.02","119,159",'079550
경,,파마리서치,"659,000",▼,"-21,000","-3.09","73,201",'214450
신,,TCC스틸,"16,530",▼,"-490","-2.88","208,015",'002710
신,,SFA반도체,"3,295",▼,"-165","-4.77","951,316",'036540
신,,KG이니시스,"9,990",▼,"-70","-0.70","95,393",'035600
